GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC06_EST_VC02,HC06_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC06_EST_VC03,HC06_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC06_EST_VC04,HC06_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC05_EST_VC05,HC05_MOE_VC05,HC06_EST_VC05,HC06_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC06_EST_VC06,HC06_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC06_EST_VC07,HC06_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC05_EST_VC08,HC05_MOE_VC08,HC06_EST_VC08,HC06_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC06_EST_VC09,HC06_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC05_EST_VC10,HC05_MOE_VC10,HC06_EST_VC10,HC06_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC05_EST_VC11,HC05_MOE_VC11,HC06_EST_VC11,HC06_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC05_EST_VC12,HC05_MOE_VC12,HC06_EST_VC12,HC06_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC05_EST_VC13,HC05_MOE_VC13,HC06_EST_VC13,HC06_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC05_EST_VC14,HC05_MOE_VC14,HC06_EST_VC14,HC06_MOE_VC14,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17
0400000US01,01,Alabama,2030482,13376,32.9,0.5,17.1,0.4,24.1,0.5,9.7,0.3,16.2,0.5,32857,3077,27.9,4.1,2.1,1.1,4.9,1.8,45.6,5.4,19.5,5.5,129365,6145,15.8,2.1,0.8,0.5,6.3,1.1,70.5,2.3,6.5,1.3,284975,8427,18.9,1.3,2.9,0.5,10.2,0.8,8.1,0.9,60.0,1.8,52985,3363,14.5,2.7,2.3,1.2,47.7,3.2,7.4,1.9,28.0,3.5,250568,9275,9.6,1.1,4.0,0.7,71.0,1.7,4.0,0.6,11.4,1.0,97390,5016,15.5,1.8,2.5,0.8,19.9,2.2,12.1,1.8,50.0,2.9,33560,3381,43.8,4.5,2.4,1.5,39.9,5.2,10.7,3.1,3.3,1.6,116374,6064,41.3,2.4,4.5,1.0,49.1,2.5,3.8,1.0,1.3,0.5,187110,6644,48.8,1.8,22.2,1.5,17.9,1.5,2.8,0.6,8.3,1.2,448085,10156,62.3,1.2,21.2,1.0,12.9,0.8,0.9,0.2,2.7,0.4,170341,5194,17.0,1.6,63.5,2.0,15.6,1.5,0.8,0.3,3.0,0.7,107220,4395,22.9,2.1,35.2,2.6,14.7,2.1,16.5,1.7,10.7,1.7,119652,6500,42.2,2.0,29.3,2.0,19.5,1.7,5.1,0.9,3.9,0.9,11.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US02,02,Alaska,352531,5376,35.8,1.4,18.6,1.2,21.0,1.1,12.9,0.8,11.7,0.9,19628,1980,29.3,4.4,3.2,1.5,8.5,2.7,45.6,4.8,13.4,3.7,28394,2851,26.9,4.2,1.0,0.9,8.0,2.6,57.9,4.5,6.1,2.2,11402,1739,16.1,4.8,7.7,4.2,11.1,3.6,11.8,5.1,53.4,6.9,6188,1233,16.9,8.6,1.1,1.7,48.2,12.3,7.1,4.3,26.8,11.8,35716,3257,7.8,1.9,7.1,2.5,65.7,5.2,4.9,2.2,14.5,3.3,29495,2700,16.6,2.8,3.8,1.4,17.9,2.8,15.9,3.2,45.8,4.2,8279,1685,44.4,8.3,3.1,2.4,29.4,8.1,19.1,8.7,4.0,4.8,13521,1577,38.7,6.3,1.8,1.3,49.1,7.4,6.6,3.3,3.8,3.5,29287,2951,50.7,5.5,16.0,3.4,17.8,2.9,6.0,2.2,9.5,4.0,79257,3378,64.3,3.4,22.1,2.5,10.6,1.7,1.4,0.8,1.6,0.7,32309,3169,18.2,3.4,66.8,4.5,9.7,2.9,1.4,1.1,3.9,1.8,16170,2265,24.4,6.6,43.8,6.5,9.5,3.5,12.5,3.6,9.7,6.0,42885,3039,40.9,4.2,20.7,4.0,22.9,2.8,9.6,3.2,6.0,2.3,9.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US04,04,Arizona,2866629,19029,35.1,0.5,20.0,0.5,25.8,0.4,9.3,0.3,9.8,0.3,48461,4316,20.3,3.1,5.3,1.7,5.4,1.4,55.4,3.8,13.8,2.7,194865,7782,16.6,1.3,0.6,0.3,6.0,0.8,71.2,1.8,5.6,0.9,197581,7267,40.1,1.8,1.8,0.5,14.5,1.3,6.6,1.0,36.9,1.7,69288,3951,17.1,1.9,1.7,1.0,53.1,2.8,6.1,1.5,22.0,2.5,347486,9895,10.5,0.8,4.7,0.6,69.4,1.3,4.0,0.6,11.5,0.9,146114,6102,15.7,1.5,2.4,0.7,26.8,2.2,8.0,1.2,47.1,2.1,47137,3222,45.0,4.0,3.4,1.3,38.9,3.9,11.0,2.2,1.6,0.8,234020,8432,44.6,1.8,5.0,0.8,47.2,1.7,1.4,0.4,1.7,0.4,342653,9662,45.2,1.6,24.7,1.6,22.2,1.3,2.7,0.5,5.2,0.7,629834,12237,63.9,1.0,20.2,0.9,12.7,0.8,0.9,0.2,2.3,0.3,320647,10712,16.7,1.2,65.6,1.5,13.2,1.0,1.4,0.4,3.0,0.6,139494,6538,17.0,1.7,40.6,2.5,15.4,1.6,16.8,2.0,10.3,1.7,149049,5605,35.7,1.8,36.4,2.2,21.0,1.7,3.8,0.6,3.1,1.0,14.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1269092,12369,32.4,0.7,17.9,0.6,23.5,0.6,10.7,0.5,15.6,0.5,42147,3205,32.9,3.9,1.6,1.0,3.8,1.3,50.4,3.7,11.2,2.5,80276,5314,13.7,1.9,0.9,0.6,5.2,1.3,72.9,3.1,7.3,1.7,163894,6634,16.4,1.4,3.9,0.9,10.0,1.4,8.4,1.1,61.3,1.8,27858,2423,16.8,3.6,2.5,1.4,45.0,4.7,11.3,3.2,24.4,4.7,170478,6444,14.4,1.4,3.9,0.9,67.1,2.0,4.1,0.7,10.5,1.4,63722,4370,16.2,2.4,1.2,0.7,19.9,2.5,11.7,2.2,51.0,3.0,23981,3003,47.5,5.2,3.4,2.4,32.4,4.9,10.3,3.2,6.4,2.9,62678,4248,36.4,2.9,4.2,1.3,53.9,3.3,3.7,1.8,1.7,0.9,98236,5461,43.0,2.4,25.1,2.1,20.9,2.0,3.3,1.1,7.6,1.4,299770,9069,61.7,1.5,23.0,1.3,12.2,1.1,0.5,0.2,2.5,0.5,107884,7418,15.7,2.2,65.2,3.1,14.4,2.0,0.9,0.5,3.8,1.2,64663,4849,27.9,2.7,33.3,3.0,12.3,2.0,17.1,2.6,9.4,2.0,63505,4733,36.7,3.2,34.7,3.0,21.5,2.3,4.3,1.7,2.7,1.0,9.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US06,06,California,17638152,36488,37.6,0.2,18.7,0.2,23.4,0.2,9.1,0.1,11.2,0.1,420979,12716,12.8,0.9,3.5,0.6,4.1,0.5,71.7,1.3,7.8,0.8,1064294,20259,18.0,0.6,0.6,0.1,6.1,0.3,71.5,0.8,3.8,0.3,1718093,23255,36.7,0.6,1.6,0.2,14.7,0.5,4.7,0.3,42.2,0.6,542536,12117,21.5,1.0,1.7,0.3,49.6,1.2,4.2,0.4,23.0,1.0,1927958,25792,11.8,0.4,4.1,0.3,69.5,0.5,3.6,0.2,11.0,0.4,830311,16582,14.9,0.6,2.1,0.2,24.7,0.9,6.6,0.5,51.7,1.0,528556,12037,64.8,1.1,2.9,0.4,22.4,0.9,6.8,0.6,3.1,0.4,1083944,19198,46.3,0.8,3.4,0.3,46.3,0.8,2.1,0.2,1.9,0.2,2271628,22215,55.2,0.6,20.4,0.4,16.2,0.4,2.4,0.2,5.8,0.3,3681807,31113,63.4,0.4,22.5,0.4,11.9,0.2,0.7,0.1,1.4,0.1,1860773,27656,19.4,0.5,61.2,0.7,15.3,0.4,0.8,0.1,3.3,0.2,953146,16441,19.3,0.7,42.8,0.8,12.7,0.6,13.7,0.6,11.4,0.6,754127,14581,40.4,1.0,33.3,1.0,20.1,0.8,3.6,0.3,2.7,0.3,12.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US08,08,Colorado,2699282,13014,40.3,0.5,17.7,0.4,23.2,0.4,9.8,0.3,9.0,0.3,73712,4373,37.7,2.9,3.2,1.1,7.6,1.5,38.7,2.8,12.9,2.4,213073,7923,17.8,1.4,0.7,0.3,5.9,0.9,71.9,1.8,3.7,0.7,178560,7049,41.5,2.0,1.4,0.4,12.5,1.0,4.8,0.9,39.8,2.1,69609,3771,25.4,2.5,1.3,0.6,53.2,2.8,3.8,1.3,16.3,2.4,291961,10337,11.8,0.9,4.5,0.7,68.9,1.2,4.2,0.6,10.7,0.9,121660,4793,17.1,1.6,2.1,0.6,25.5,1.8,8.7,1.4,46.6,2.3,85739,4394,56.9,2.8,2.7,1.1,28.9,2.5,8.2,1.3,3.2,1.3,184674,8205,45.0,1.9,3.6,1.0,47.5,1.9,2.6,0.6,1.3,0.4,361496,9280,60.2,1.3,15.9,1.1,17.9,1.0,1.8,0.4,4.2,0.6,551550,11803,67.2,0.9,18.9,0.9,11.5,0.6,0.7,0.2,1.7,0.3,299196,9746,21.0,1.3,64.0,1.5,11.1,0.9,1.1,0.3,2.7,0.5,142651,6413,24.2,2.1,37.7,2.2,13.7,1.6,13.9,1.7,10.6,1.5,125401,5829,45.2,2.3,31.1,2.1,17.4,1.7,3.8,0.9,2.5,0.9,13.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,1798758,11166,42.5,0.6,17.5,0.5,22.9,0.5,7.5,0.3,9.7,0.4,7646,1646,23.2,7.8,8.5,4.6,10.7,5.1,51.6,9.3,6.0,4.7,103417,5648,17.3,1.9,0.5,0.3,4.5,0.9,75.2,2.3,2.5,0.8,189973,7609,39.3,1.7,1.8,0.7,13.8,1.3,4.1,0.6,41.0,2.1,48314,4108,22.3,3.1,2.8,1.2,43.0,3.8,5.1,1.7,26.7,4.3,191654,7721,12.3,1.5,4.7,0.8,69.2,1.8,4.0,0.9,9.7,1.3,64236,4115,17.0,2.4,1.8,0.9,22.0,2.4,9.0,1.9,50.2,3.4,43167,3027,59.9,3.7,4.6,1.8,27.2,3.0,5.9,1.8,2.4,0.9,171306,5911,55.4,1.7,2.5,0.6,39.7,1.7,1.5,0.4,1.0,0.4,201530,6754,58.8,1.9,18.5,1.5,16.7,1.2,1.8,0.5,4.2,0.8,471363,7988,66.1,1.1,21.0,1.0,10.7,0.6,0.7,0.2,1.4,0.3,159884,7345,18.6,1.8,62.2,2.2,15.0,1.7,1.7,0.5,2.4,0.6,77664,4323,21.7,2.4,40.0,3.5,15.1,2.0,14.9,2.3,8.4,1.9,68604,3956,39.3,3.4,36.9,2.6,18.7,2.3,2.9,0.9,2.2,1.0,11.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US10,10,Delaware,441144,5793,38.8,1.1,18.0,1.0,23.7,1.0,8.0,0.7,11.5,0.9,3745,980,32.8,11.0,10.0,7.4,13.6,7.3,33.7,11.5,9.9,5.7,25477,2671,20.0,4.4,1.8,1.4,6.7,2.0,68.9,5.3,2.6,1.6,40531,3182,36.6,4.7,1.5,1.0,9.3,1.9,9.5,2.7,43.2,5.0,8172,1504,8.4,4.8,0.0,1.7,51.1,7.7,9.2,5.1,31.2,8.6,57173,3887,11.0,2.1,6.6,2.1,66.0,3.4,3.6,1.5,12.8,2.0,21831,1998,18.8,6.4,1.3,0.9,17.8,4.0,8.9,3.3,53.2,6.8,5936,1223,45.0,9.2,3.4,3.0,37.8,9.3,10.8,5.2,2.9,3.4,43294,3408,56.7,3.8,4.3,1.9,36.7,3.6,1.0,0.7,1.3,0.8,43706,3156,51.6,3.7,23.5,3.4,17.4,2.8,3.7,1.6,3.9,1.2,105913,5064,65.1,2.4,19.8,2.1,12.1,1.6,0.5,0.4,2.4,0.8,41163,3345,13.1,3.1,67.9,4.2,14.2,3.3,1.3,0.8,3.6,1.5,17727,2152,22.4,4.7,35.6,6.2,13.3,3.6,17.4,4.7,11.3,4.4,26476,2594,41.3,4.6,24.6,3.5,23.0,4.0,3.4,1.8,7.7,2.8,13.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,345592,5578,60.0,1.5,15.5,1.1,17.7,1.1,2.7,0.5,4.0,0.5,210,177,41.0,42.7,0.0,45.8,33.3,44.9,25.7,39.6,0.0,45.8,9624,1995,18.0,6.0,1.6,2.1,7.3,5.5,65.5,7.6,7.6,4.1,3775,1014,42.7,11.6,5.5,6.0,11.4,6.5,1.9,2.2,38.5,11.7,1607,532,27.7,15.6,2.4,4.0,69.9,16.4,0.0,9.6,0.0,9.6,17048,2043,13.5,4.5,5.4,2.5,68.5,5.9,1.7,2.1,11.0,3.8,10365,1655,16.8,5.6,8.0,3.3,25.3,7.8,3.5,3.2,46.4,7.9,13566,1543,77.0,5.9,0.0,1.2,19.2,5.8,3.2,1.8,0.5,0.9,23225,2607,55.9,5.5,9.6,3.4,31.3,5.7,1.3,1.2,2.0,1.6,80921,4542,76.0,2.2,10.5,1.7,11.9,1.7,0.3,0.3,1.3,0.7,66325,3825,68.1,3.4,17.0,2.5,13.0,2.4,0.6,0.4,1.3,0.6,35971,3034,28.1,4.1,55.9,5.1,13.2,3.4,0.8,0.5,2.0,1.3,29973,2639,66.7,4.1,16.1,3.7,12.2,3.1,0.6,0.5,4.5,1.8,52982,3018,74.3,2.9,8.8,1.9,15.0,2.2,1.0,0.7,0.8,0.6,14.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US12,12,Florida,8738970,32696,34.2,0.3,20.8,0.3,26.7,0.3,9.1,0.2,9.2,0.2,92565,5889,21.3,2.6,6.4,2.6,5.0,1.1,60.0,3.4,7.2,1.6,596857,14633,17.6,0.9,0.7,0.2,7.1,0.6,70.7,1.3,3.9,0.5,441119,13567,32.0,1.2,2.0,0.4,17.8,1.0,6.5,0.6,41.8,1.3,250739,6916,21.6,1.2,1.2,0.4,53.2,2.0,5.6,1.0,18.4,1.6,1165596,18724,10.5,0.5,4.4,0.3,70.1,0.8,4.1,0.3,10.9,0.5,438288,12295,16.3,1.2,3.7,0.6,24.5,1.1,8.3,0.9,47.2,1.3,179421,9195,51.9,2.0,2.0,0.5,31.5,2.1,11.9,1.5,2.8,0.6,648090,15077,41.3,1.1,5.3,0.5,49.3,1.2,2.4,0.4,1.7,0.3,1151372,17334,46.2,0.9,24.6,0.9,21.6,0.7,3.5,0.4,4.1,0.4,1843388,23099,62.7,0.6,21.3,0.5,13.1,0.4,0.9,0.1,2.0,0.2,1070929,21144,17.9,0.7,62.9,1.0,13.7,0.8,1.5,0.2,4.0,0.4,480439,11975,18.8,1.0,43.8,1.6,12.3,0.9,13.9,1.0,11.2,1.1,380167,10330,37.2,1.3,35.6,1.3,20.7,1.2,4.1,0.6,2.4,0.4,13.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
